snp_id,sampling_id,extraction_label,sequencing_id,country,location,microlocation,nuc_number,role,biotype,Notes
B0003350,SI-A1-041,E21/10-04,MS1_2110_04,Slovenia,Krma,1,70,mating_nuc,queen,
B0000003351,SI-A1-041,E21/10-05,MS1_2110_05,Slovenia,Krma,1,70,mating_nuc,worker,
B0003352,SI-A1-041,E21/10-06,MS1_2110_06,Slovenia,Krma,1,70,mating_nuc,worker,
B0003353,SI-A1-041,E21/10-07,MS1_2110_07,Slovenia,Krma,1,70,mating_nuc,worker,
B0003354,SI-A1-041,E21/10-08,MS1_2110_08,Slovenia,Krma,1,70,mating_nuc,worker,
B0003355,SI-A1-041,E21/10-09,MS1_2110_09,Slovenia,Krma,1,70,mating_nuc,worker,
B0003356,SI-A1-041,E21/10-10,MS1_2110_10,Slovenia,Krma,1,70,mating_nuc,worker,
B0003357,SI-A1-041,E21/10-11,MS1_2110_11,Slovenia,Krma,1,70,mating_nuc,worker,
B0003366,SI-A1-041,E21/10-12,MS1_2110_12,Slovenia,Krma,1,70,mating_nuc,worker,
B0003367,SI-A1-041,E21/10-13,MS1_2110_13,Slovenia,Krma,1,70,mating_nuc,worker,
B0003368,SI-A1-041,E21/10-14,MS1_2110_14,Slovenia,Krma,1,70,mating_nuc,worker,
B0003369,SI-A1-041,E21/10-15,MS1_2110_15,Slovenia,Krma,1,70,mating_nuc,worker,
B0003370,SI-A1-041,E21/10-16,MS1_2110_16,Slovenia,Krma,1,70,mating_nuc,worker,
B0003371,SI-A1-041,E21/10-17,MS1_2110_17,Slovenia,Krma,1,70,mating_nuc,worker,
B0003372,SI-A1-041,E21/10-18,MS1_2110_18,Slovenia,Krma,1,70,mating_nuc,worker,
B0003373,SI-A1-041,E21/10-19,MS1_2110_19,Slovenia,Krma,1,70,mating_nuc,worker,
B0003374,SI-A1-041,E21/10-20,MS1_2110_20,Slovenia,Krma,1,70,mating_nuc,worker,
B0003375,SI-A1-041,E21/10-21,MS1_2110_21,Slovenia,Krma,1,70,mating_nuc,worker,
B0003376,SI-A1-041,E21/10-22,MS1_2110_22,Slovenia,Krma,1,70,mating_nuc,worker,
B0003377,SI-A1-041,E21/10-23,MS1_2110_23,Slovenia,Krma,1,70,mating_nuc,worker,
B0003378,SI-A1-041,E21/10-24,MS1_2110_24,Slovenia,Krma,1,70,mating_nuc,worker,
B0003379,SI-A1-041,E21/10-25,MS1_2110_25,Slovenia,Krma,1,70,mating_nuc,worker,
B0003380,SI-A1-041,E21/10-26,MS1_2110_26,Slovenia,Krma,1,70,mating_nuc,worker,
B0003381,SI-A1-041,E21/10-27,MS1_2110_27,Slovenia,Krma,1,70,mating_nuc,worker,
B0003382,SI-A1-041,E21/10-28,MS1_2110_28,Slovenia,Krma,1,70,mating_nuc,worker,
B0003383,SI-A1-041,E21/10-29,MS1_2110_29,Slovenia,Krma,1,70,mating_nuc,worker,
B0003384,SI-A1-041,E21/10-30,MS1_2110_30,Slovenia,Krma,1,70,mating_nuc,worker,
B0003385,SI-A1-041,E21/10-31,MS1_2110_31,Slovenia,Krma,1,70,mating_nuc,worker,
B0003386,SI-A1-041,E21/10-32,MS1_2110_32,Slovenia,Krma,1,70,mating_nuc,worker,
B0003387,SI-A1-041,E21/10-33,MS1_2110_33,Slovenia,Krma,1,70,mating_nuc,worker,
B0003388,SI-A1-041,E21/10-34,MS1_2110_34,Slovenia,Krma,1,70,mating_nuc,worker,
B0003389,SI-A1-044,E21/10-35,MS1_2110_35,Slovenia,Krma,0,45,mating_nuc,queen,
B0003390,SI-A1-044,E21/10-36,MS1_2110_36,Slovenia,Krma,0,45,mating_nuc,worker,
B0003391,SI-A1-044,E21/10-37,MS1_2110_37,Slovenia,Krma,0,45,mating_nuc,worker,
B0003392,SI-A1-044,E21/10-38,MS1_2110_38,Slovenia,Krma,0,45,mating_nuc,worker,
B0003393,SI-A1-044,E21/10-39,MS1_2110_39,Slovenia,Krma,0,45,mating_nuc,worker,
B0003394,SI-A1-044,E21/10-40,MS1_2110_40,Slovenia,Krma,0,45,mating_nuc,worker,
B0003395,SI-A1-044,E21/10-41,MS1_2110_41,Slovenia,Krma,0,45,mating_nuc,worker,
B0003396,SI-A1-044,E21/10-42,MS1_2110_42,Slovenia,Krma,0,45,mating_nuc,worker,
B0003397,SI-A1-044,E21/10-43,MS1_2110_43,Slovenia,Krma,0,45,mating_nuc,worker,
B0003414,SI-A1-044,E21/10-44,MS1_2110_44,Slovenia,Krma,0,45,mating_nuc,worker,
B0003415,SI-A1-044,E21/10-45,MS1_2110_45,Slovenia,Krma,0,45,mating_nuc,worker,
B0003416,SI-A1-044,E21/10-46,MS1_2110_46,Slovenia,Krma,0,45,mating_nuc,worker,
B0003417,SI-A1-044,E21/10-47,MS1_2110_47,Slovenia,Krma,0,45,mating_nuc,worker,
B0003418,SI-A1-044,E21/10-48,MS1_2110_48,Slovenia,Krma,0,45,mating_nuc,worker,
B0003419,SI-A1-044,E21/10-49,MS1_2110_49,Slovenia,Krma,0,45,mating_nuc,worker,
B0003420,SI-A1-044,E21/10-50,MS1_2110_50,Slovenia,Krma,0,45,mating_nuc,worker,
