id,mother,father,dpc
50550,50035,50144,50111
50521,50035,50343,50116
50533,50035,50272,50115
50532,50035,50504,50120
50522,50035,50309,50115
50538,50035,50179,50112
50530,50035,50286,50115
50534,50035,50144,50111
50536,50035,50398,50118
50523,50035,50179,50112
50543,50035,50513,50120
50546,50035,50448,50119
50537,50035,50309,50115
50548,50035,50504,50120
50525,50035,50232,50114
50527,50035,50135,50111
50528,50035,50513,50120
50540,50035,50232,50114
50531,50035,50448,50119
50526,50035,50440,50119
50544,50035,50373,50118
50542,50035,50135,50111
50541,50035,50440,50119
50529,50035,50373,50118
50547,50035,50197,50112
50539,50035,50480,50120
50535,50035,50343,50116
50570,50037,50354,50116
50558,50037,50388,50118
50569,50037,50346,50116
50573,50037,50459,50119
50559,50037,50346,50116
50564,50037,50477,50120
50577,50037,50208,50112
50580,50037,50354,50116
50552,50037,50517,50120
50568,50037,50388,50118
50575,50037,50515,50120
50560,50037,50354,50116
50567,50037,50208,50112
50557,50037,50208,50112
50572,50037,50517,50120
50555,50037,50515,50120
50551,50037,50256,50114
50571,50037,50256,50114
50579,50037,50346,50116
50578,50037,50388,50118
50561,50037,50256,50114
50554,50037,50477,50120
50565,50037,50515,50120
50553,50037,50459,50119
50574,50037,50477,50120
50599,50038,50469,50119
50582,50038,50389,50118
50593,50038,50336,50116
50603,50038,50180,50112
50605,50038,50253,50114
50586,50038,50121,50111
50592,50038,50171,50112
50598,50038,50424,50119
50597,50038,50251,50114
50600,50038,50121,50111
50587,50038,50180,50112
50588,50038,50253,50114
50596,50038,50239,50114
50595,50038,50389,50118
50583,50038,50239,50114
50601,50038,50478,50120
50618,50041,50189,50112
50626,50041,50476,50120
50634,50041,50444,50119
50616,50041,50430,50119
50619,50041,50493,50120
50624,50041,50348,50116
50622,50041,50395,50118
50631,50041,50189,50112
50612,50041,50410,50118
50614,50041,50476,50120
50621,50041,50444,50119
50615,50041,50456,50119
50636,50041,50410,50118
50632,50041,50493,50120
50639,50041,50476,50120
50611,50041,50430,50119
50628,50041,50456,50119
50623,50041,50410,50118
50629,50041,50430,50119
50630,50041,50195,50112
50640,50041,50342,50116
50637,50041,50348,50116
50651,50042,50423,50119
50656,50042,50297,50115
50648,50042,50421,50119
50654,50042,50451,50119
50661,50042,50136,50111
50667,50042,50166,50111
50643,50042,50297,50115
50653,50042,50458,50119
50662,50042,50265,50114
50666,50042,50209,50112
50644,50042,50511,50120
50647,50042,50265,50114
50646,50042,50139,50111
50659,50042,50453,50119
50660,50042,50139,50111
50641,50042,50451,50119
50668,50042,50423,50119
50650,50042,50166,50111
50642,50042,50134,50111
50645,50042,50453,50119
50657,50042,50409,50118
50669,50042,50375,50118
50670,50042,50458,50119
50652,50042,50375,50118
50655,50042,50134,50111
50664,50042,50487,50120
50663,50042,50421,50119
50675,50043,50255,50114
50686,50043,50173,50112
50698,50043,50279,50115
50699,50043,50490,50120
50684,50043,50490,50120
50671,50043,50173,50112
50679,50043,50132,50111
50676,50043,50437,50119
50678,50043,50397,50118
50688,50043,50411,50118
50672,50043,50310,50115
50694,50043,50132,50111
50691,50043,50437,50119
50682,50043,50266,50114
50697,50043,50266,50114
50680,50043,50169,50111
50673,50043,50411,50118
50693,50043,50397,50118
50696,50043,50123,50111
50685,50043,50305,50115
50683,50043,50279,50115
50681,50043,50123,50111
50700,50043,50305,50115
50689,50043,50268,50114
50695,50043,50169,50111
50709,50044,50313,50115
50717,50044,50254,50114
50715,50044,50130,50111
50716,50044,50193,50112
50713,50044,50383,50118
50712,50044,50475,50120
50729,50044,50345,50116
50706,50044,50250,50114
50724,50044,50142,50111
50711,50044,50160,50111
50721,50044,50271,50115
50714,50044,50129,50111
50719,50044,50242,50114
50726,50044,50313,50115
50708,50044,50454,50119
50720,50044,50203,50112
50704,50044,50300,50115
50702,50044,50383,50118
50703,50044,50193,50112
50701,50044,50160,50111
50710,50044,50345,50116
50718,50044,50300,50115
50707,50044,50142,50111
50723,50044,50306,50115
50732,50045,50466,50119
50731,50045,50323,50116
50755,50045,50392,50118
50734,50045,50273,50115
50759,50045,50357,50116
50740,50045,50433,50119
50742,50045,50376,50118
50757,50045,50470,50119
50760,50045,50376,50118
50744,50045,50323,50116
50747,50045,50273,50115
50733,50045,50473,50120
50739,50045,50141,50111
50758,50045,50433,50119
50752,50045,50479,50120
50738,50045,50292,50115
50745,50045,50466,50119
50746,50045,50473,50120
50751,50045,50344,50116
50750,50045,50284,50115
50748,50045,50385,50118
50741,50045,50357,50116
50736,50045,50284,50115
50756,50045,50141,50111
50743,50045,50301,50115
50754,50045,50292,50115
50753,50045,50402,50118
50749,50045,50496,50120
50735,50045,50385,50118
50737,50045,50344,50116
